,subject_id_within_expert_type,trial_nr,block_nr,instr_type,trial_type,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,abs_conf_rating,subject_id
52,5,52,5,optimized,main,True,0,layer_u,u,channel_u,min_max,True,3,7.249431848526001,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_u/kernel_size_u/channel_u/optimized_images/min_1.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_u/kernel_size_u/channel_u/optimized_images/max_1.png,,,42,"layer_u, u ",3,5
53,5,53,5,optimized,main,False,7,layer_0,3,channel_0,min_max,False,-2,13.4846830368042,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_7/max_9.png,,,42,"3a, P ",2,5
54,5,54,5,optimized,main,False,7,layer_3,0,channel_0,min_max,True,3,3.948997974395752,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,,,42,"4b, 1x1 ",3,5
55,5,55,5,optimized,main,False,7,layer_2,2,channel_0,min_max,False,-2,4.63343071937561,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,,,42,"4a, 5x5 ",2,5
56,5,56,6,natural,main,False,6,layer_1,0,channel_0,min_max,True,3,1.9044888019561768,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_6/max_9.png,,,42,"3b, 1x1 ",3,5
57,5,57,6,natural,main,False,6,layer_5,3,channel_1,min_max,True,3,1.2667219638824463,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_1/natural_images/batch_6/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_1/natural_images/batch_6/max_9.png,,,42,"4d, P int.",3,5
58,5,58,6,natural,main,False,6,layer_7,0,channel_0,max_min,True,-2,11.624497652053833,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_6/min_0.png,,,42,"5a, 1x1 ",2,5
59,5,59,6,natural,main,False,6,layer_0,0,channel_0,max_min,True,-2,3.449826955795288,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_6/min_0.png,,,42,"3a, 1x1 ",2,5
60,5,60,6,natural,main,False,6,layer_3,3,channel_1,max_min,True,-3,1.3933649063110352,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_6/min_0.png,,,42,"4b, P int.",3,5
61,5,61,6,natural,main,False,6,layer_4,3,channel_1,max_min,True,-2,4.150543928146361,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_1/natural_images/batch_6/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_1/natural_images/batch_6/min_0.png,,,42,"4c, P int.",2,5
